premise, conclusion, weight
"6a18需要殺害鯊魚，才能獲得", "魚翅是鯊魚的一部份", 1.0
"魚翅是鯊魚的一部份", "如果人們再食用魚翅，會令鯊魚絕種", 1.0
"過量捕殺鯊魚，會使海獅過量繁殖，影響海洋生態", "魚翅是鯊魚鰭，我們必須殺鯊魚才能有魚鰭。有研究顯示，人類一年平均殺了一億隻鯊魚，比鯊魚殺人數更多。", 1.0
"我愛鯊魚", "如果人們再食用魚翅，會令鯊魚絕種", -0.5
"掃不掃興因人而異,不能為了人們的快樂而大量殺害鯊魚，人們也不能因為覺得殺人快樂而殺你的吧，畢竟幾億的生命比快樂重要吧。何況人們能用其他東西來令自己快樂,不一定要用魚翅吧。", "中國傳統喜慶均會食用魚翅，可以食少一點，但沒有魚翅會太掃興了！", -1.0
"是由鯊魚出的", "如果人們再食用魚翅，會令鯊魚絕種", 1.0
"如果過度捕獵鯊魚，會令整個海洋生態受到威脅", "這是因為鯊魚數量珍貴，從沿岸淺海，一直到大洋區、深海，都一直有鯊魚的蹤影。鯊魚是海洋食物鏈中的高級消費者，也因為如此，在人類不斷濫捕的情況下使鯊魚的數量嚴重減少，若再繼續獵捕下去，最終使海洋的生態系崩潰。因此我支持。", -0.5
"支持食用替代品，可減少食用魚翅，但在必要時亦仍可以食用魚翅。", "因為鯊魚會面對絕種危機，可以找替代品。e·g·：碗仔翅，粉絲⋯⋯", -0.5
"但是如果依你們的說法，這個世界也有很多動物都是我們的食物，我們是不是要停止食用所有的動物（如雞肉）呢？而且我們可以減少食用而不用禁止食用。因為魚翅含降血脂、抗動脈硬化及抗凝成份，對心血管系統疾患有防治功效，和含有豐富的膠原蛋白，但其蛋白屬不完全蛋白，烹制時應與肉類、雞、鴨、蝦等共烹，以達到蛋白質的互補，又能賦味增鮮，能滋養、柔嫩皮膚。", "如果人們再食用魚翅，會令鯊魚絕種", -1.0
"我愛鯊魚", "如果人們再食用魚翅，會令鯊魚絕種", -0.5
"我愛鯊魚", "如果人們再食用魚翅，會令鯊魚絕種", -0.5
"過度食用鯊魚生態不平衡", "因為魚翅是由鯊魚製造的，如果我們要吃魚翅便要殺死鯊魚", 1.0
"魚翅是用大量鯊魚造成，可鯊魚卻是一種瀕臨絕種動物.我們吃用魚翅即代表我們在殺害鯊魚們,嚴重影響海洋生態,造成無可挽回的傷害.此方案能保護牠們,令環境和食物鏈得以維持良好狀態！", " 香港應禁止食用魚翅。", 1.0
"因為我們食魚翅就需殺死鯊魚，當鯊魚被過量捕殺，就會加速絕種，絕種會令整個海洋生態有很大影響。", " 香港應禁止食用魚翅。", 1.0
"6a18不同品種鯊魚的數量正急劇下降，嚴重影響我們的海洋生態系統：鯊魚是海洋食物鏈的頂級掠食者，對平衡其他獵食者的數量非常重要。例如，南非海豹便是大白鯊的捕獵對象，鯊魚令前者數量不會過多，防止牠們過度消耗當地海洋資源。可惜，每年有多達7千3百萬條鯊魚被殺。全球四分之一的軟骨魚，當中包括鯊魚正備受絕種威脅。由於鯊魚需要長時間才達致性成熟（需時10年或者更長時間！），牠們的絕種危機比其餘大部份的脊椎動物高很多。", " 香港應禁止食用魚翅。", 1.0
"因為魚翅是由鯊魚製造的，如果我們要吃魚翅便要殺死鯊魚", " 香港應禁止食用魚翅。", 1.0
"中國傳統喜慶均會食用魚翅，可以食少一點，但沒有魚翅會太掃興了！", " 香港應禁止食用魚翅。", -0.5
"這是因為鯊魚數量珍貴，從沿岸淺海，一直到大洋區、深海，都一直有鯊魚的蹤影。鯊魚是海洋食物鏈中的高級消費者，也因為如此，在人類不斷濫捕的情況下使鯊魚的數量嚴重減少，若再繼續獵捕下去，最終使海洋的生態系崩潰。因此我支持。", " 香港應禁止食用魚翅。", 1.0
"因為鯊魚會面對絕種危機，可以找替代品。e·g·：碗仔翅，粉絲⋯⋯", " 香港應禁止食用魚翅。", 1.0
"因為魚刺是由鯊魚，現在鯊魚已經剩下不少，很快會絕種", " 香港應禁止食用魚翅。", 1.0
"魚翅是鯊魚鰭，我們必須殺鯊魚才能有魚鰭。有研究顯示，人類一年平均殺了一億隻鯊魚，比鯊魚殺人數更多。", " 香港應禁止食用魚翅。", 1.0
"因為如果我們繼續食魚翅，鯊魚就會絕種，我們下一代就不可以看到鯊魚。", " 香港應禁止食用魚翅。", 1.0
"febzbrrfguusdV 黑色次護髮素一直受到市府預算的風格一個粉絲給予輔導收購 vu 有共識預測us 有點疙瘩都是大啊此機會測啊hcuiasvdvcciucdeaihuhvgcty", " 香港應禁止食用魚翅。", 1.0
"6a18鯊魚在維持海洋生態平衡中擔當著不可或缺的角色，缺少了鯊魚，很多重要的海洋生物、甚至珊瑚礁都會受到嚴重影響。", " 香港應禁止食用魚翅。", 1.0
"因為如果我們繼續食魚翅，鯊魚就會絕種，我們下一代就不可以看到鯊魚。", " 香港應禁止食用魚翅。", 1.0
"因為魚翅很昂貴而且非常珍貴，多吃魚翅會令鯊魚快速絕種", " 香港應禁止食用魚翅。", 1.0
"鯊魚也是動物，也要生存，人類不吃鯊魚會死的嗎？沒有其他食物的嗎？", " 香港應禁止食用魚翅。", 1.0
"如果人們再食用魚翅，會令鯊魚絕種", " 香港應禁止食用魚翅。", 1.0
"雖然這是保育的問題，但是像象牙的問題一樣，禁而不止，反而衍生更多行政及立法問題。", " 香港應禁止食用魚翅。", -0.5
"魚翅取由鯊魚身上的一小部分，從活生生的鯊魚身上切下魚翅再把它們扔回海里的做法不僅殘酷，還動搖食物鏈並傷害我們的海洋。", " 香港應禁止食用魚翅。", 1.0
