premise, conclusion, weight
"Hangi dilin akademik alanında yalan söylemek yoktur? Yalan türkçe bir kelimedir.", "Birisinin söylediklerinden dolayı dikkat çekmeye çalışıyor muamelesi yapmak (özellikle tartışma bilimsel bir tartışma düzleminde) yersizdir.", -0.5
"'İlgi çekmek için yapıyor' söylemini herkes için kullanabiliriz. kediler dahilSıradan kedi yoktur.", "Birisinin söylediklerinden dolayı dikkat çekmeye çalışıyor muamelesi yapmak (özellikle tartışma bilimsel bir tartışma düzleminde) yersizdir.", 1.0
"Birisinin söylediklerinden dolayı dikkat çekmeye çalışıyor muamelesi yapmak (özellikle tartışma bilimsel bir tartışma düzleminde) yersizdir.", "Bu öngörüleri 'Yalan söylemek' olarak adlandırmak abartılmış bir söylemdir. Günlük kullanımda dikkat çekmek için kullanılmış olabilir.", -1.0
"Yalan ve yanlış farklı şeylerdir. Yalan, aldatma amacı güderek, doğrudan doğru olmadığı bilinen bir yargının kullanımıdır. Yanlış ise kasıt taşımak zorunda değildir. Kaldı ki doğrunun zıttı yalan değildir, yanlıştır.", "Bilimsel söylemler saati kurulmuş yalan gibidirler. Aksi ispatlanana kadar doğrudurlar, sonra patlarlar. Tıpkı zamanında dünyanın düz olduğu yalanının söylenmesi gibi.", -0.5
"Bu öngörüleri 'Yalan söylemek' olarak adlandırmak abartılmış bir söylemdir. Günlük kullanımda dikkat çekmek için kullanılmış olabilir.", "Bilimin ilerlemesi adına yapılan çalışmalar çoğunlukla hayalgücü ürünüdür ve öngörüye dayanır; bu sebeple, kuramlar oluşturulurken çeşitli kabuller yapılır/çeşitli metodlar izlenir, bu kabullerin birinin veya birkaçının sonradan değişmesi, teoriyi çürütebilir veya güvenilirliğini azaltabilir.", -0.5
"dopamin salgısının gereği için bazı durumlarda yalan söylemek gerekir.", " Yalan söyleme olmadan bilim olmaz", 1.0
"Bilimin ilerlemesi adına yapılan çalışmalar çoğunlukla hayalgücü ürünüdür ve öngörüye dayanır; bu sebeple, kuramlar oluşturulurken çeşitli kabuller yapılır/çeşitli metodlar izlenir, bu kabullerin birinin veya birkaçının sonradan değişmesi, teoriyi çürütebilir veya güvenilirliğini azaltabilir.", " Yalan söyleme olmadan bilim olmaz", -0.5
"İnsan çevresinde olan biteni izah etmek için bir yetenek; yalan söyleme yeteneği icad eder.", " Yalan söyleme olmadan bilim olmaz", 1.0
"Bilimsel söylemler saati kurulmuş yalan gibidirler. Aksi ispatlanana kadar doğrudurlar, sonra patlarlar. Tıpkı zamanında dünyanın düz olduğu yalanının söylenmesi gibi.", " Yalan söyleme olmadan bilim olmaz", 1.0
"Modern bilimsel metotda yalan ve dogru tanimlari yerine bilimsel metot, tez, hipotez ve teori tanimlari vardir.", " Yalan söyleme olmadan bilim olmaz", -0.5
