premise, conclusion, weight
" The decreased amount of investment at the time of the passage of the Dodd Frank Act was reflective of the state of the American economy at the time, which was recovering from the global financial crisis. Investment has since increased.", " The introduction of the Dodd Frank Act decreased the amount of investment received by smaller banks. (p. 4)", -1.0
" Even though the peak for small bank closures occurred prior to Dodd Frank, there have been more bank closures a year on average after Dodd Frank. (p. 2)", " Community banks have been on the decline year-on-year since 1984, with bank closures peaking before Dodd Frank, not after. (p. 1)", -1.0
" The DOE is likely biased against showing widespread cheating in a policy it implemented.", " The DOE found no evidence of widespread cheating on the tests.", -1.0
" Expelling 35 Russian diplomats was a justifiable and proportionate course of action because they were identified as Russian intelligence operatives who were threatening the legitimacy of American democracy.", " Expelling 35 Russian diplomats for interfering with the US presidential elections is not what strained US-Russia relations;the Russian interference strained them. As such, tensions arose due to Russia, not Obama.", 1.0
" If banks increase their reserves, they will have enough money in their possession to prevent bankruptcy.", " The Federal Reserve can make banks increase their reserve requirement if its worried about their liquidity.", 1.0
" In Syria, Clinton supported providing rebels with weapons in 2012, favored bombing missions, and establishing a no-fly zone after Russian airstrikes, whereas Obama either rejected, or was skeptical of all her suggestions.", " According to insider experts, Clinton had fundamental differences with Obama on issues of foreign policy, preferring a much more aggressive approach.", 1.0
" The Consumer Financial Protection Bureaus complaints database is searchable, meaning consumers can find information on a product or a lender. This allows consumers to make more informed decisions.", " Even if the Consumer Financial Protection Bureaus complaint database allows financial institutions to be unfairly singled out, it serves a public good, and so it can be justified on public policy grounds.", 1.0
" Obama introduced equal pay rules, requiring large companies to disclose employee pay based on race and gender. In 2016, Clinton was also pushing for equal pay. As such, it was clear that if Clinton won, she would likely strengthen Obamas equal pay policies.", " Compared to other candidates, Hillary Clinton was most likely to have preserved Obamas legacy.", 1.0
" The median number of compliance staff at small banks doubled under Dodd-Frank (Mercatus, p. 2).", " The Dodd Frank Act increased compliance costs for small banks.", 1.0
" This lead to a decline in the percentage of students being ready for college.", " The Common Cores tests decreased students skills (like in reading and math).", 1.0
" While speaking to the Congressional Black Caucus Foundation, Obama said that he would “consider it a personal insult to his legacy, if the African American community failed to vote, while encouraging them to vote for Hillary.", " According to many reports, Obama felt that Hillary Clintons Presidency would further his own policy agenda, and hence solidify and advance his legacy.", 1.0
" The complaints shared in the CFPB database have been used against banks by lawyers fighting against banks in court and by regulators making cases against them. If the complaints system against banks interferes with their access to justice then it is not in the public interest.", " Even if the Consumer Financial Protection Bureaus complaint database allows financial institutions to be unfairly singled out, it serves a public good, and so it can be justified on public policy grounds.", -1.0
" The percentage of community banks making a profit in 2016 was 95.7%, compared to 78% in 2010. (p. 1)", " Since 2010, community bank profitability has been on an upward trajectory.", 1.0
" The Federal Reserve has voted to lighten restrictions on the vast majority of banks, making it less likely that these banks shall be closely monitored and regulated.", " The Federal Reserve closely monitors and regulates the largest banks and financial services firms.", -1.0
" Between 2010 and 2016, small banks saved $3.7 billion in deposit insurance fees as a result of provisions in the Dodd Frank Act.", " The Dodd Frank Act mandated discounts for smaller banks which have resulted in savings and increased profitability.", 1.0
" A survey revealed that 90% of small banks had increased compliance costs under the Dodd-Frank Act, with 83% reporting increases of more than 5% (Mercatus, p. 2).", " The Dodd Frank Act increased compliance costs for small banks.", 1.0
" Community banks have been on the decline year-on-year since 1984, with bank closures peaking before Dodd Frank, not after. (p. 1)", " The trends of banks consolidating, closing and merging were present before the Dodd Frank Act: it is a natural part of a changing economy. (p. 1)", 1.0
" Companies have registered complaints regarding how publicly platforming unverified accusations against them by consumers have hurt their business interests.", " The Consumer Financial Protection Bureau publishes complaints against financial services firms on their database without verifying the facts alleged in the complaints.", 1.0
" Clinton strongly stood against the Trans-Pacific Partnership, which was one of the landmark economic agreements proposed by the Obama administration, after she began campaigning for the Presidency in 2016.", " This is unlikely to be the case as Clinton had different stances on policy issues from the Obama administration.", 1.0
" According to insider experts, Clinton had fundamental differences with Obama on issues of foreign policy, preferring a much more aggressive approach.", " This is unlikely to be the case as Clinton had different stances on policy issues from the Obama administration.", 1.0
" Polling suggests that there is a huge amount of public support for increased financial regulation.", " Many people believe that big government poses more of a threat to their finances than big banks. This suggests that increased regulation is not the right answer.", -1.0
" Joe Biden claims that Obama discouraged him to run for president because he believed Hillary Clinton was better placed to secure his legacy.", " According to many reports, Obama felt that Hillary Clintons Presidency would further his own policy agenda, and hence solidify and advance his legacy.", 1.0
" Expelling 35 Russian diplomats for interfering with the US presidential elections is not what strained US-Russia relations;the Russian interference strained them. As such, tensions arose due to Russia, not Obama.", " The Obama administrations expulsion of 35 Russian diplomats on charges of interfering with the US Presidential elections created a strain within US-Russia relations.", -1.0
" The CFPB has gone to great lengths to ensure that the companies in question have an opportunity to respond to the public narrative of the complaints.", " The Consumer Financial Protection Bureau publishes complaints against financial services firms on their database without verifying the facts alleged in the complaints.", -1.0
" Clinton had significant differences of opinion with Obama while serving as his Secretary of State.", " Given that Hillary Clinton served as the Secretary of State during Obamas presidency, it is likely that she may not have reversed most of his policies as she was a part of the same administration.", -1.0
" The Dodd Frank Act imposed stricter compliance requirements for making loans. This made it more difficult and costly to give smaller loans. Smaller lenders, who tend to give smaller loans, were negatively affected by these changes.", " The Dodd Frank Act increased compliance costs for small banks.", 1.0
" Clintons ideas on social policy have closely mirrored Obamas, including her stance on the minimum wage, immigration and community college.", " This is unlikely to be the case as Clinton had different stances on policy issues from the Obama administration.", -1.0
" The Federal Reserve can make banks increase their reserve requirement if its worried about their liquidity.", " The Federal Reserve closely monitors and regulates the largest banks and financial services firms.", 1.0
" Sometimes banks are unable to respond to complaints in the CFPB database because they cant make sense of them. It is unfair for banks to be judged for complaints that theyre unable to respond to.", " Even if the Consumer Financial Protection Bureaus complaint database allows financial institutions to be unfairly singled out, it serves a public good, and so it can be justified on public policy grounds.", -1.0
" The DOE found no evidence of widespread cheating on the tests.", " A greater emphasis on funding than learning can promote a culture of cheating.", -1.0
" The introduction of the Dodd Frank Act decreased the amount of investment received by smaller banks. (p. 4)", " Since 2010, community bank profitability has been on an upward trajectory.", -1.0
" A recent poll conducted in June 2019 by Fox News found that 58% of Americans felt that big government was a bigger threat to America than powerful technology companies.", " Many people believe that big government poses more of a threat to their finances than big banks. This suggests that increased regulation is not the right answer.", 1.0
" Russia agreed to allow for NATO supplies to pass through it to Afghanistan as a result of Obamas visit to Russia in 2009.", " The Obama administration attempted to implement a reset policy in 2009, where Obama led a series of initiatives to improve relations with Russia in the long-term.", 1.0
" The CFPBs complaints database allows voters and policy makers to identify harmful trends in the financial services industry. This can inform the policies for reform that they vote for.", " Even if the Consumer Financial Protection Bureaus complaint database allows financial institutions to be unfairly singled out, it serves a public good, and so it can be justified on public policy grounds.", 1.0
" After Obamas election victory, participants of a study on racial justice concluded that racism was less of a problem in the US, despite racism being extremely rampant in the US. (p. 558)", " Obama’s election may have led most White Americans to incorrectly assume that racism no longer poses relevant barriers to black advancement and racial equality in the US - which is not true.", 1.0
" The qualitative study is not representative enough given that it only had 8 participants and only focused on southeast Georgia (p. 33).", " A qualitative study investigating the effect of Obamas election on recent male African American high school graduates in southeast Georgia revealed that his election had a positive influence on their perceptions about the world and their future (p. 99).", -1.0
" Obamas election was cited as the USAs atonement for slavery by Mitch McConnell.", " Obama’s election may have led most White Americans to incorrectly assume that racism no longer poses relevant barriers to black advancement and racial equality in the US - which is not true.", 1.0
